No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#75,93,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Lemon ,1.2,Rough Diamond Lemon ,1.2,Bronze Plate,10,Bronze Plate,10,Pink Lemon Soft Tie Dye,0.6,5.48571429
#87,89,Bronze Diamond Collection,10,Rough Diamond Yellow,3.6,Rough Diamond Green,2.2,Rough Diamond Green,2.2,Bronze Plate,10,Bronze Plate,10,Yellow Green Soft Tie Dye,0.2,5.45714286
#1,88,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Pink,0.6,Rough Diamond Pink,0.6,Silver Plate,10.2,Silver Plate,10.2,Soft Pink Tie Dye,0.6,5.4
#42,87,Original Ring Collection,10.2,Rough Diamond White,6.2,Roughdiamond Red,0.4,Roughdiamond Red,0.4,Silver Plate,10.2,Silver Plate,10.2,White Red Soft Tie Dye,0.2,5.4
#53,86,Bronze Diamond Collection,10,Rough Diamond Yellow,3.6,Rough Diamond Yellow,1.8,Rough Diamond Yellow,1.8,Bronze Plate,10,Bronze Plate,10,Soft Yellow Tie Dye,0.6,5.4
#40,85,Original Ring Collection,10.2,Rough Diamond Aqua,3.6,Rough Diamond Peach,1.6,Rough Diamond Peach,1.6,Silver Plate,10.2,Silver Plate,10.2,Aqua Peach Soft Tie Dye,0.2,5.37142857
#25,84,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Roughdiamond Red,0.4,Roughdiamond Red,0.4,Silver Plate,10.2,Silver Plate,10.2,Pink Red Soft Tie Dye,0.6,5.34285714
#49,83,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Hdiamond Peach,0.2,Rough Hdiamond Peach,0.2,Silver Plate,10.2,Silver Plate,10.2,White Peach Soft Tie Dye,0.2,5.34285714
#51,82,Original Ring Collection,10.2,Rough Diamond White,6.2,Rough Diamond Gray,0.2,Rough Diamond Gray,0.2,Silver Plate,10.2,Silver Plate,10.2,White Gray Soft Tie Dye,0.2,5.34285714
#39,76,Original Ring Collection,10.2,Rough Diamond Aqua,3.6,Rough Diamond Coper,1.4,Rough Diamond Coper,1.4,Silver Plate,10.2,Silver Plate,10.2,Aqua Copper Soft Tie Dye,0.2,5.31428571
#37,78,Original Ring Collection,10.2,Rough Diamond Aqua,3.6,Rough Diamond Turqoise,1.4,Rough Diamond Turqoise,1.4,Silver Plate,10.2,Silver Plate,10.2,Aqua Turqoise Soft Tie Dye,0.2,5.31428571
#36,79,Original Ring Collection,10.2,Rough Diamond Yellow,3.6,Rough Diamond Sienna,1.4,Rough Diamond Sienna,1.4,Silver Plate,10.2,Silver Plate,10.2,Yellow Sienna Soft Tie Dye,0.2,5.31428571
#52,75,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Pink,0.6,Rough Diamond Pink,0.6,Bronze Plate,10,Bronze Plate,10,Soft Pink Tie Dye,0.6,5.31428571
#38,77,Original Ring Collection,10.2,Rough Diamond Aqua,3.6,Rough Diamond Sienna,1.4,Rough Diamond Sienna,1.4,Silver Plate,10.2,Silver Plate,10.2,Aqua Sienna Soft Tie Dye,0.2,5.31428571
#34,81,Original Ring Collection,10.2,Rough Diamond Yellow,3.6,Rough Diamond Coper,1.4,Rough Diamond Coper,1.4,Silver Plate,10.2,Silver Plate,10.2,Yellow Coper Soft Tie Dye,0.2,5.31428571
#35,80,Original Ring Collection,10.2,Rough Diamond Yellow,3.6,Rough Diamond Turqoise,1.4,Rough Diamond Turqoise,1.4,Silver Plate,10.2,Silver Plate,10.2,Yellow Turqoiuse Soft Tie Dye,0.2,5.31428571
#21,74,Original Ring Collection,10.2,Rough Diamond Lavender,0.6,Rough Diamond Lavender,2.4,Rough Diamond Lavender,2.4,Silver Plate,10.2,Silver Plate,10.2,Lavender Soft Tie Dye,1,5.28571429
#33,73,Original Ring Collection,10.2,Rough Diamond Yellow,3.6,Rough Diamond Umber,1.2,Rough Diamond Umber,1.2,Silver Plate,10.2,Silver Plate,10.2,Yellow Umber Soft Tie Dye,0.4,5.28571429
